,v2_term_x,description,v3_term,v2_term_y,unk,icd10_term,snomed_concept_id
2809,16A3.,Wry neck symptom,Y7EmV,16A3.,X76gC,P152,70070008
2810,16A3.,Wry neck symptom,Y7EmV,.16A3,XE2Ps,P152,200002007
2811,16A3.,Wry neck symptom,Y7EmV,.16A3,XE2Ps,P152,605641000000105
2812,16A3.,Wry neck symptom,Y7EmV,.16A3,XE2Ps,P152,70070008
2813,16AZ.,Stiff neck symptom NOS,Y7Exz,.16AZ,16AZ.,P152,200002007
2814,16AZ.,Stiff neck symptom NOS,Y7Exz,.16AZ,16AZ.,P152,605641000000105
2815,16AZ.,Stiff neck symptom NOS,Y7Exz,.16AZ,16AZ.,P152,70070008
2816,N135.,Contracture of neck,Y7EmR,N135.,XM1NC,P152,200002007
2817,N135.,Contracture of neck,Y7EmR,N135.,XM1NC,P152,605641000000105
2818,N135.,Contracture of neck,Y7EmR,N135.,XM1NC,P152,70070008
2819,N135z,Wry neck,Y7EmT,N135z,X76gC,P152,200002007
2820,N135z,Wry neck,Y7EmT,N135z,X76gC,P152,605641000000105
2821,N135z,Wry neck,Y7EmT,N135z,X76gC,P152,70070008
2822,16A3.,Wry neck/torticollis,Y7Ema,.16A3,XE2Ps,S134,161884007
2823,16A3.,Wry neck/torticollis,Y7Ema,.16A3,XE2Ps,S134,398733004
2824,16A3.,Wry neck/torticollis,Y7Ema,.16A3,XE2Ps,S134,270476009
2825,16A3.,Wry neck/torticollis,Y7Ema,16A3.,XE2Ps,S134,161884007
2826,16A3.,Wry neck/torticollis,Y7Ema,16A3.,XE2Ps,S134,398733004
2827,16A3.,Wry neck/torticollis,Y7Ema,16A3.,XE2Ps,S134,270476009
2828,16A3.,Torticollis - symptom,Y7EmS,.16A3,X76gC,S134,161884007
2829,16A3.,Torticollis - symptom,Y7EmS,.16A3,X76gC,S134,398733004
2830,16A3.,Torticollis - symptom,Y7EmS,.16A3,X76gC,S134,270476009
2831,16A3.,Torticollis - symptom,Y7EmS,16A3.,X76gC,S134,161884007
2832,16A3.,Torticollis - symptom,Y7EmS,16A3.,X76gC,S134,398733004
2833,16A3.,Torticollis - symptom,Y7EmS,16A3.,X76gC,S134,270476009
2834,16A3.,Torticollis - symptom,Y7EmS,.16A3,XE2Ps,S134,161884007
2835,16A3.,Torticollis - symptom,Y7EmS,.16A3,XE2Ps,S134,398733004
2836,16A3.,Torticollis - symptom,Y7EmS,.16A3,XE2Ps,S134,270476009
2837,16A3.,Wry neck symptom,Y7EmV,.16A3,X76gC,S134,161884007
2838,16A3.,Wry neck symptom,Y7EmV,.16A3,X76gC,S134,398733004
2839,16A3.,Wry neck symptom,Y7EmV,.16A3,X76gC,S134,270476009
2840,16A3.,Wry neck symptom,Y7EmV,16A3.,X76gC,S134,161884007
2841,16A3.,Wry neck symptom,Y7EmV,16A3.,X76gC,S134,398733004
2842,16A3.,Wry neck symptom,Y7EmV,16A3.,X76gC,S134,270476009
2843,16A3.,Wry neck symptom,Y7EmV,.16A3,XE2Ps,S134,161884007
2844,16A3.,Wry neck symptom,Y7EmV,.16A3,XE2Ps,S134,398733004
2845,16A3.,Wry neck symptom,Y7EmV,.16A3,XE2Ps,S134,270476009
2846,16AZ.,Stiff neck symptom NOS,Y7Exz,.16AZ,16AZ.,S134,161884007
2847,16AZ.,Stiff neck symptom NOS,Y7Exz,.16AZ,16AZ.,S134,398733004
2848,16AZ.,Stiff neck symptom NOS,Y7Exz,.16AZ,16AZ.,S134,270476009
2849,N135.,Contracture of neck,Y7EmR,N135.,XM1NC,S134,161884007
2850,N135.,Contracture of neck,Y7EmR,N135.,XM1NC,S134,398733004
2851,N135.,Contracture of neck,Y7EmR,N135.,XM1NC,S134,270476009
2852,N135z,Wry neck,Y7EmT,N135z,X76gC,S134,161884007
2853,N135z,Wry neck,Y7EmT,N135z,X76gC,S134,398733004
2854,N135z,Wry neck,Y7EmT,N135z,X76gC,S134,270476009
2855,S5700,Whiplash injury,YA0sN,.P2P1,Xa06Y,S134,161884007
2856,S5700,Whiplash injury,YA0sN,.P2P1,Xa06Y,S134,398733004
2857,S5700,Whiplash injury,YA0sN,.P2P1,Xa06Y,S134,270476009
2858,S5700,Whiplash injury,YA0sN,S5700,Xa06Y,S134,161884007
2859,S5700,Whiplash injury,YA0sN,S5700,Xa06Y,S134,398733004
2860,S5700,Whiplash injury,YA0sN,S5700,Xa06Y,S134,270476009
2861,S5700,Whiplash injury,YA0sN,S5704,Xa06Y,S134,161884007
2862,S5700,Whiplash injury,YA0sN,S5704,Xa06Y,S134,398733004
2863,S5700,Whiplash injury,YA0sN,S5704,Xa06Y,S134,270476009
2864,S5704,Whiplash injury,YA0sN,.P2P1,Xa06Y,S134,161884007
2865,S5704,Whiplash injury,YA0sN,.P2P1,Xa06Y,S134,398733004
2866,S5704,Whiplash injury,YA0sN,.P2P1,Xa06Y,S134,270476009
2867,S5704,Whiplash injury,YA0sN,S5700,Xa06Y,S134,161884007
2868,S5704,Whiplash injury,YA0sN,S5700,Xa06Y,S134,398733004
2869,S5704,Whiplash injury,YA0sN,S5700,Xa06Y,S134,270476009
2870,S5704,Whiplash injury,YA0sN,S5704,Xa06Y,S134,161884007
2871,S5704,Whiplash injury,YA0sN,S5704,Xa06Y,S134,398733004
2872,S5704,Whiplash injury,YA0sN,S5704,Xa06Y,S134,270476009
2873,S5702,Atlanto-axial joint sprain,YA0wo,S5702,S5702,S134,161884007
2874,S5702,Atlanto-axial joint sprain,YA0wo,S5702,S5702,S134,398733004
2875,S5702,Atlanto-axial joint sprain,YA0wo,S5702,S5702,S134,270476009
2876,16B..,Bruising symptom,YM0sv,.16B.,16B..,R233,302227002
2877,16B3.,Spontaneous bruising,Y7Cwe,.16B3,16B3.,R233,302227002
2878,16BZ.,Bruising symptom NOS,Y7Cwb,.16BZ,16BZ.,R233,302227002
2879,2F23.,O/E - petechiae present,YM0Rr,.2F23,2F23.,R233,302227002
2880,2F24.,O/E - ecchymoses present,YM0Rs,.2F24,2F24.,R233,302227002
2881,2FS..,Petechiae,Y7Cwl,.2FS.,XM07T,R233,302227002
2882,2FS..,Petechiae,Y7Cwl,2FS..,XM07T,R233,302227002
2883,M2y47,Black heel,Y50AM,M2y47,X503s,R233,302227002
2884,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,298106008
2885,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,59565001
2886,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,298083004
2887,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,125587004
2888,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,219263006
2889,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,242999003
2890,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,403164008
2891,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,243020001
2892,16B4.,Post-traumatic bruising,Yakpr,.16B4,XaIP6,T140,219347000
2893,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,298106008
2894,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,59565001
2895,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,298083004
2896,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,125587004
2897,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,219263006
2898,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,242999003
2899,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,403164008
2900,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,243020001
2901,16B4.,Post-traumatic bruising,Yakpr,16B4.,XaIP6,T140,219347000
2902,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,298106008
2903,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,59565001
2904,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,298083004
2905,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,125587004
2906,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,219263006
2907,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,242999003
2908,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,403164008
2909,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,243020001
2910,2F14.,O/E - foreign body in skin,YM0Rk,.2F14,XE1iE,T140,219347000
2911,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,298106008
2912,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,59565001
2913,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,298083004
2914,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,125587004
2915,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,219263006
2916,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,242999003
2917,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,403164008
2918,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,243020001
2919,2F14.,O/E - foreign body in skin,YM0Rk,2F14.,XE1iE,T140,219347000
2920,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,298106008
2921,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,59565001
2922,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,298083004
2923,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,125587004
2924,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,219263006
2925,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,242999003
2926,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,403164008
2927,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,243020001
2928,2F14.,O/E - splinter in skin,YM0Rm,.2F14,XM1X1,T140,219347000
2929,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,298106008
2930,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,59565001
2931,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,298083004
2932,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,125587004
2933,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,219263006
2934,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,242999003
2935,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,403164008
2936,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,243020001
2937,2F14.,O/E - splinter in skin,YM0Rm,2F14.,XM1X1,T140,219347000
2938,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,298106008
2939,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,59565001
2940,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,298083004
2941,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,125587004
2942,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,219263006
2943,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,242999003
2944,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,403164008
2945,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,243020001
2946,2I15.,O/E - bruising,YM0Vl,.2I15,2I15.,T140,219347000
2947,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,298106008
2948,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,59565001
2949,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,298083004
2950,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,125587004
2951,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,219263006
2952,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,242999003
2953,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,403164008
2954,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,243020001
2955,M07z.,Infected insect bite,YA0Cd,M07z.,XA00w,T140,219347000
2956,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,298106008
2957,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,59565001
2958,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,298083004
2959,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,125587004
2960,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,219263006
2961,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,242999003
2962,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,403164008
2963,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,243020001
2964,M2y5.,Foreign body in skin or subcutaneous tissue,Y50Al,M2y5.,M2y5.,T140,219347000
2965,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,298106008
2966,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,59565001
2967,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,298083004
2968,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,125587004
2969,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,219263006
2970,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,242999003
2971,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,403164008
2972,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,243020001
2973,SD...,Superficial injury,YA00W,SD...,XE1mv,T140,219347000
2974,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,298106008
2975,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,59565001
2976,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,298083004
2977,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,125587004
2978,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,219263006
2979,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,242999003
2980,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,403164008
2981,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,243020001
2982,SD...,Abrasions,YMHyz,.P5..,XA00d,T140,219347000
2983,SD...,Abrasions,YMHyz,SD...,XA00d,T140,298106008
2984,SD...,Abrasions,YMHyz,SD...,XA00d,T140,59565001
2985,SD...,Abrasions,YMHyz,SD...,XA00d,T140,298083004
2986,SD...,Abrasions,YMHyz,SD...,XA00d,T140,125587004
2987,SD...,Abrasions,YMHyz,SD...,XA00d,T140,219263006
2988,SD...,Abrasions,YMHyz,SD...,XA00d,T140,242999003
2989,SD...,Abrasions,YMHyz,SD...,XA00d,T140,403164008
2990,SD...,Abrasions,YMHyz,SD...,XA00d,T140,243020001
2991,SD...,Abrasions,YMHyz,SD...,XA00d,T140,219347000
2992,SD...,Blisters,YMIDs,SD...,XA00i,T140,298106008
2993,SD...,Blisters,YMIDs,SD...,XA00i,T140,59565001
2994,SD...,Blisters,YMIDs,SD...,XA00i,T140,298083004
2995,SD...,Blisters,YMIDs,SD...,XA00i,T140,125587004
2996,SD...,Blisters,YMIDs,SD...,XA00i,T140,219263006
2997,SD...,Blisters,YMIDs,SD...,XA00i,T140,242999003
2998,SD...,Blisters,YMIDs,SD...,XA00i,T140,403164008
2999,SD...,Blisters,YMIDs,SD...,XA00i,T140,243020001
3000,SD...,Blisters,YMIDs,SD...,XA00i,T140,219347000
3001,SD...,Splinters,YMIQc,.P5..,XA01u,T140,298106008
3002,SD...,Splinters,YMIQc,.P5..,XA01u,T140,59565001
3003,SD...,Splinters,YMIQc,.P5..,XA01u,T140,298083004
3004,SD...,Splinters,YMIQc,.P5..,XA01u,T140,125587004
3005,SD...,Splinters,YMIQc,.P5..,XA01u,T140,219263006
3006,SD...,Splinters,YMIQc,.P5..,XA01u,T140,242999003
3007,SD...,Splinters,YMIQc,.P5..,XA01u,T140,403164008
3008,SD...,Splinters,YMIQc,.P5..,XA01u,T140,243020001
3009,SD...,Splinters,YMIQc,.P5..,XA01u,T140,219347000
3010,SD...,Splinters,YMIQc,SD...,XA01u,T140,298106008
3011,SD...,Splinters,YMIQc,SD...,XA01u,T140,59565001
3012,SD...,Splinters,YMIQc,SD...,XA01u,T140,298083004
3013,SD...,Splinters,YMIQc,SD...,XA01u,T140,125587004
3014,SD...,Splinters,YMIQc,SD...,XA01u,T140,219263006
3015,SD...,Splinters,YMIQc,SD...,XA01u,T140,242999003
3016,SD...,Splinters,YMIQc,SD...,XA01u,T140,403164008
3017,SD...,Splinters,YMIQc,SD...,XA01u,T140,243020001
3018,SD...,Splinters,YMIQc,SD...,XA01u,T140,219347000
3019,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,298106008
3020,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,59565001
3021,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,298083004
3022,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,125587004
3023,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,219263006
3024,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,242999003
3025,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,403164008
3026,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,243020001
3027,SD665,Foreign body skin of knee,YaY8H,SD665,Xa6pd,T140,219347000
3028,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,298106008
3029,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,59565001
3030,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,298083004
3031,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,125587004
3032,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,219263006
3033,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,242999003
3034,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,403164008
3035,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,243020001
3036,SD90.,"Abrasion or friction burn, without infection, NOS",YA04P,SD90.,XE1nH,T140,219347000
3037,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,298106008
3038,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,59565001
3039,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,298083004
3040,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,125587004
3041,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,219263006
3042,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,242999003
3043,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,403164008
3044,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,243020001
3045,SD92.,"Blister, without mention of infection, NOS",YA06N,SD92.,XE2ow,T140,219347000
3046,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,298106008
3047,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,59565001
3048,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,298083004
3049,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,125587004
3050,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,219263006
3051,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,242999003
3052,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,403164008
3053,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,243020001
3054,SD920,Fracture blister,Ya3mH,SD920,Xa1xe,T140,219347000
3055,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,298106008
3056,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,59565001
3057,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,298083004
3058,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,125587004
3059,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,219263006
3060,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,242999003
3061,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,403164008
3062,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,243020001
3063,SD93.,"Blister, infected, NOS",YA06O,SD93.,XE2ox,T140,219347000
3064,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,298106008
3065,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,59565001
3066,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,298083004
3067,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,125587004
3068,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,219263006
3069,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,242999003
3070,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,403164008
3071,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,243020001
3072,SD98.,"Tick bite, without infection",Yat80,SD98.,XaQZJ,T140,219347000
3073,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,298106008
3074,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,59565001
3075,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,298083004
3076,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,125587004
3077,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,219263006
3078,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,242999003
3079,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,403164008
3080,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,243020001
3081,SD99.,"Tick bite, infected",Yat7z,SD99.,XaQZI,T140,219347000
3082,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,298106008
3083,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,59565001
3084,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,298083004
3085,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,125587004
3086,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,219263006
3087,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,242999003
3088,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,403164008
3089,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,243020001
3090,SDz..,Superficial injuries NOS,YA02A,.P5Z.,SDz..,T140,219347000
3091,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,298106008
3092,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,59565001
3093,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,298083004
3094,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,125587004
3095,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,219263006
3096,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,242999003
3097,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,403164008
3098,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,243020001
3099,SE...,Contusion (bruise) with intact skin,YA02E,SE...,XE2bL,T140,219347000
3100,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,298106008
3101,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,59565001
3102,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,298083004
3103,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,125587004
3104,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,219263006
3105,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,242999003
3106,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,403164008
3107,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,243020001
3108,SE...,Haematoma with intact skin,YM1kU,SE...,XE2bL,T140,219347000
3109,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,298106008
3110,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,59565001
3111,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,298083004
3112,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,125587004
3113,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,219263006
3114,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,242999003
3115,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,403164008
3116,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,243020001
3117,SE46.,Traumatic haematoma,YabUp,SE46.,XM0wW,T140,219347000
3118,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,298106008
3119,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,59565001
3120,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,298083004
3121,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,125587004
3122,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,219263006
3123,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,242999003
3124,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,403164008
3125,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,243020001
3126,SE4z.,"Contusion, site NOS",YA04B,SE4z.,XE1nU,T140,219347000
3127,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,298106008
3128,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,59565001
3129,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,298083004
3130,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,125587004
3131,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,219263006
3132,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,242999003
3133,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,403164008
3134,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,243020001
3135,SE4z.,Haematoma NOS,YA04C,SE4z.,XE1nU,T140,219347000
3136,16C..,Backache symptom,Y7Cp6,.16C.,XM1GI,M545,271857006
3137,16C..,Backache symptom,Y7Cp6,.16C.,16C..,M545,271857006
3138,16C2.,Backache,Y7Cp5,.16C.,XM1GI,M545,271857006
3139,16C2.,Backache,Y7Cp5,.16C2,XM1GI,M545,271857006
3140,16C9.,Chronic low back pain,Ya2GE,.16C9,Xa0sK,M545,271857006
3141,16C9.,Chronic low back pain,Ya2GE,16C9.,Xa0sK,M545,271857006
3142,16CA.,Mechanical low back pain,Y7CpN,.16CA,Xa0wu,M545,271857006
